Date,Open,High,Low,Volume,Close,Open,High,Low,Volume,Close
30/05/2023,27745.12,28044.76,27588.5,27702.35,13251081851,0.247256655,0.249046325,0.251270236,3.39E-08,0.088802944
31/05/2023,27700.53,27831.68,26866.45,27219.66,15656371534,0.246856732,0.247139713,0.244652818,3.26E-08,0.104922142
01/06/2023,27218.41,27346.11,26671.72,26819.97,14678970415,0.242532645,0.242794896,0.242868163,3.14E-08,0.098372028
02/06/2023,26824.56,27303.86,26574.64,27249.59,14837415000,0.239000244,0.242416848,0.241978448,3.27E-08,0.099433854
03/06/2023,27252.32,27317.05,26958,27075.13,8385597470,0.242836781,0.242534871,0.245491852,3.22E-08,0.056196599
04/06/2023,27075.12,27407.02,26968.22,27119.07,9360912318,0.241247491,0.24333991,0.245585516,3.23E-08,0.062732732
05/06/2023,27123.11,27129.98,25445.17,25760.1,21513292646,0.241677909,0.240860993,0.231627123,2.84E-08,0.144172661
06/06/2023,25732.11,27313.82,25434.87,27238.78,21929670693,0.229202168,0.242505969,0.231532725,3.26E-08,0.146963045
07/06/2023,27235.65,27332.18,26146.99,26346,19530045082,0.242687269,0.242670252,0.238059137,3.01E-08,0.130881805
08/06/2023,26347.65,26797.51,26246.66,26508.22,11904824295,0.234722885,0.237886094,0.238972589,3.05E-08,0.079780916
09/06/2023,26505.92,26770.29,26339.31,26480.38,11015551640,0.236142393,0.237642533,0.239821704,3.05E-08,0.0738214
10/06/2023,26481.76,26531.04,25501.84,25851.24,19872933189,0.235925704,0.235501755,0.23214649,2.87E-08,0.133179691
11/06/2023,25854.03,26203.44,25668.99,25940.17,10732609603,0.230295656,0.232570433,0.23367838,2.89E-08,0.071925246
12/06/2023,25934.29,26087.92,25675.2,25902.5,11677889997,0.2310155,0.231536775,0.233735293,2.88E-08,0.078260102
13/06/2023,25902.94,26376.35,25728.37,25918.73,14143474486,0.230734325,0.234117609,0.234222584,2.89E-08,0.094783369
14/06/2023,25920.26,26041.8,24902.15,25124.68,14265717766,0.230889667,0.231124099,0.226650473,2.66E-08,0.09560259
15/06/2023,25121.67,25735.31,24797.17,25576.39,15837384409,0.223727192,0.228381667,0.225688356,2.79E-08,0.106135211
16/06/2023,25575.28,26463.17,25245.36,26327.46,16324646965,0.227795575,0.234894463,0.229795911,3.00E-08,0.109400631
17/06/2023,26328.68,26769.39,26174.49,26510.68,11090276850,0.234552745,0.23763448,0.238311168,3.06E-08,0.074322176
18/06/2023,26510.46,26675.93,26325.89,26336.21,9565695129,0.236183112,0.236798212,0.239698713,3.01E-08,0.064105097
19/06/2023,26335.44,26984.61,26312.83,26851.03,12826986222,0.234613375,0.239560241,0.239579021,3.15E-08,0.085960841
20/06/2023,26841.66,28388.97,26668.79,28327.49,22211859147,0.239153612,0.252126271,0.242841311,3.57E-08,0.148854148
21/06/2023,28311.31,30737.33,28283.41,30027.3,33346760979,0.252334757,0.273139091,0.257638922,4.06E-08,0.223475382
22/06/2023,29995.94,30496,29679.16,29912.28,20653160491,0.267444036,0.270979702,0.270430641,4.02E-08,0.138408432
23/06/2023,29896.38,31389.54,29845.21,30695.47,24115570085,0.266551092,0.278974982,0.27195245,4.25E-08,0.161611985
24/06/2023,30708.74,30804.15,30290.15,30548.7,12147822496,0.273837068,0.273736988,0.27603022,4.21E-08,0.081409383
25/06/2023,30545.15,31041.27,30327.94,30480.26,12703464114,0.272369846,0.275858707,0.276376556,4.19E-08,0.08513305
26/06/2023,30480.52,30636.03,29955.74,30271.13,16493186997,0.271790186,0.272232672,0.272965431,4.13E-08,0.110530112
27/06/2023,30274.32,31006.79,30236.65,30688.16,16428827944,0.269940799,0.275550184,0.275539905,4.25E-08,0.110098806
28/06/2023,30696.56,30703.28,29921.82,30086.25,14571500779,0.273727827,0.272834416,0.272654562,4.07E-08,0.097651813
29/06/2023,30086.19,30796.25,30057.2,30445.35,13180860821,0.268253479,0.2736663,0.273895288,4.18E-08,0.088332354
30/06/2023,30441.35,31256.86,29600.28,30477.25,26387306197,0.271438874,0.277787778,0.269707724,4.19E-08,0.176836165
01/07/2023,30471.85,30641.29,30328.87,30590.08,9086606733,0.271712425,0.272279738,0.276385079,4.22E-08,0.060894456
02/07/2023,30587.27,30766.14,30264.02,30620.77,10533418042,0.272747616,0.27339688,0.275790744,4.23E-08,0.070590352
03/07/2023,30624.52,31375.61,30586.51,31156.44,15271884873,0.273081708,0.278850338,0.278746289,4.38E-08,0.102345481
04/07/2023,31156.87,31325.2,30659.36,30777.58,12810828427,0.277856302,0.278399276,0.279413942,4.27E-08,0.085852559
05/07/2023,30778.72,30877.33,30225.61,30514.17,12481622280,0.274464712,0.274391793,0.275438726,4.20E-08,0.083646363
06/07/2023,30507.15,31460.05,29892.23,29909.34,21129219509,0.272029028,0.279605896,0.272383377,4.02E-08,0.141598771
07/07/2023,29908,30434.64,29777.29,30342.27,13384770155,0.266655311,0.270430661,0.271329979,4.15E-08,0.089698865
08/07/2023,30346.92,30374.44,30080.16,30292.54,7509378699,0.270591941,0.269891999,0.274105711,4.13E-08,0.050324565
09/07/2023,30291.61,30427.59,30085.59,30171.23,7903327692,0.270095871,0.270367578,0.274155475,4.10E-08,0.052964639
10/07/2023,30172.42,31026.08,29985.39,30414.47,14828209155,0.269026868,0.275722789,0.273237166,4.17E-08,0.09937216
11/07/2023,30417.63,30788.31,30358.1,30620.95,12151839152,0.271226132,0.273595254,0.276652965,4.23E-08,0.081436301
12/07/2023,30622.25,30959.96,30228.84,30391.65,14805659717,0.273061348,0.275131156,0.275468328,4.16E-08,0.099221044
13/07/2023,30387.49,31814.52,30268.35,31476.05,23686079548,0.270955809,0.282777647,0.275830428,4.47E-08,0.158733727
14/07/2023,31474.72,31582.25,29966.39,30334.07,20917902660,0.280707067,0.280699326,0.273063036,4.14E-08,0.140182618
15/07/2023,30331.78,30407.78,30263.46,30295.81,8011667756,0.270456152,0.270190321,0.275785612,4.13E-08,0.053690686
16/07/2023,30297.47,30437.56,30089.67,30249.13,8516564470,0.270148429,0.270456788,0.274192868,4.12E-08,0.057074283
17/07/2023,30249.63,30336.4,29685.78,30145.89,13240156074,0.269719356,0.269551622,0.270491311,4.09E-08,0.088729724
18/07/2023,30147.07,30233.66,29556.43,29856.56,13138897269,0.268799506,0.268632318,0.269305849,4.01E-08,0.088051132
19/07/2023,29862.05,30184.18,29794.27,29913.92,12128602812,0.26624319,0.268189577,0.271485596,4.02E-08,0.081280581
20/07/2023,29915.25,30195.53,29638.1,29792.02,14655207121,0.266720335,0.268291135,0.270054335,3.99E-08,0.098212777
21/07/2023,29805.11,30046,29733.85,29908.74,10972789818,0.265732501,0.26695316,0.270931861,4.02E-08,0.073534829
22/07/2023,29908.7,29991.62,29664.12,29771.8,7873300598,0.266661589,0.266466575,0.270292802,3.98E-08,0.05276341
23/07/2023,29790.11,30330.64,29741.53,30084.54,9220145050,0.265597967,0.269500082,0.271002247,4.07E-08,0.061789372
24/07/2023,30081.66,30093.39,28934.29,29176.92,15395817395,0.26821285,0.2673772,0.263604083,3.81E-08,0.103176022
25/07/2023,29178.97,29353.16,29062.43,29227.39,10266772793,0.260116713,0.260753718,0.264778456,3.83E-08,0.068803412
26/07/2023,29225.76,29675.55,29113.91,29354.97,13497554655,0.260536368,0.263638422,0.265250258,3.87E-08,0.090454697
27/07/2023,29353.8,29560.97,29099.35,29210.69,10770779217,0.261684746,0.262613175,0.265116819,3.82E-08,0.072181042
28/07/2023,29212.16,29521.51,29125.85,29319.25,11218474952,0.260414391,0.262260092,0.265359685,3.86E-08,0.075181303
29/07/2023,29319.45,29396.84,29264.17,29356.92,6481775959,0.261376664,0.261144561,0.266627355,3.87E-08,0.043438022
30/07/2023,29357.09,29443.17,29059.5,29275.31,8678454527,0.261714254,0.261559116,0.264751603,3.84E-08,0.058159199
31/07/2023,29278.31,29489.87,29131.58,29230.11,11656781982,0.261007684,0.261976982,0.265412199,3.83E-08,0.078118645
01/08/2023,29230.87,29675.73,28657.02,29675.73,18272392391,0.260582199,0.263640033,0.261062969,3.96E-08,0.122453568
02/08/2023,"29,704.15","29,988.00","28,946.51","29,151.96","19,212,655,598",0.264827,0.266434184,0.263716076,3.81E-08,0.1287548
03/08/2023,"29,161.81","29,375.71","28,959.49","29,178.68","12,780,357,746",0.259962807,0.260955493,0.263835035,3.82E-08,0.085648357
04/08/2023,"29,174.38","29,302.08","28,885.34","29,074.09","12,036,639,988",0.260075546,0.260296661,0.263155468,3.79E-08,0.080664287
05/08/2023,"29,075.39","29,102.46","28,957.80","29,042.13","6,598,366,353",0.259187714,0.258510487,0.263819547,3.78E-08,0.044219359
06/08/2023,"29,043.70","29,160.82","28,963.83","29,041.86","7,269,806,994",0.25890349,0.259032685,0.26387481,3.78E-08,0.04871906
07/08/2023,"29,038.51","29,244.28","28,724.14","29,180.58","13,618,163,710",0.258856941,0.259779474,0.261678108,3.82E-08,0.091262966
08/08/2023,"29,180.02","30,176.80","29,113.81","29,765.49","17,570,561,357",0.26012613,0.268123542,0.265249341,3.98E-08,0.117750203
09/08/2023,"29,766.70","30,093.44","29,376.80","29,561.49","18,379,521,213",0.265388005,0.267377647,0.267659583,3.92E-08,0.123171498
10/08/2023,"29,563.97","29,688.56","29,354.45","29,429.59","11,865,344,789",0.26356974,0.263754834,0.26745475,3.89E-08,0.079516341
11/08/2023,"29,424.90","29,517.77","29,253.52","29,397.71","10,195,168,197",0.262322435,0.262226627,0.26652975,3.88E-08,0.06832355
12/08/2023,"29,399.79","29,465.11","29,357.59","29,415.96","6,194,358,008",0.262097226,0.261755432,0.267483527,3.88E-08,0.041511872
13/08/2023,"29,416.59","29,441.43","29,265.81","29,282.91","7,329,897,180",0.262247903,0.261543547,0.266642385,3.84E-08,0.049121759
14/08/2023,"29,283.26","29,660.25","29,124.11","29,408.44","14,013,695,304",0.26105208,0.26350152,0.265343738,3.88E-08,0.093913645
15/08/2023,"29,408.05","29,439.12","29,088.85","29,170.35","12,640,195,779",0.262171309,0.261522877,0.265020589,3.81E-08,0.084709053
16/08/2023,"29,169.07","29,221.98","28,701.78","28,701.78","14,949,271,904",0.260027921,0.259579937,0.261473184,3.68E-08,0.10018347
17/08/2023,"28,699.80","28,745.95","25,409.11","26,664.55","31,120,851,211",0.255819085,0.255320482,0.231296641,3.10E-08,0.20855831
18/08/2023,"26,636.08","26,808.20","25,668.92","26,049.56","24,026,236,529",0.237309785,0.237981747,0.233677738,2.92E-08,0.16101331
19/08/2023,"26,047.83","26,249.45","25,802.41","26,096.21","10,631,443,812",0.232033829,0.232982125,0.234901143,2.94E-08,0.071247278
20/08/2023,"26,096.86","26,260.68","26,004.31","26,189.58","9,036,580,420",0.232473575,0.233082609,0.236751509,2.96E-08,0.060559202
21/08/2023,"26,188.69","26,220.20","25,846.09","26,124.14","13,371,557,893",0.233297189,0.232720399,0.23530146,2.94E-08,0.089610322
22/08/2023,"26,130.75","26,135.51","25,520.73","26,031.66","14,503,820,706",0.232777531,0.231962604,0.232319612,2.92E-08,0.097198251
23/08/2023,"26,040.47","26,786.90","25,805.00","26,431.64","16,985,265,785",0.231967818,0.237791157,0.234924879,3.03E-08,0.113827809
24/08/2023,"26,431.52","26,554.91","25,914.93","26,162.37","12,871,532,023",0.235475107,0.235715341,0.235932362,2.96E-08,0.086259367
25/08/2023,"26,163.68","26,248.10","25,786.81","26,047.67","12,406,045,118",0.233072877,0.232970045,0.234758172,2.92E-08,0.083139878
26/08/2023,"26,047.23","26,107.38","25,983.88","26,008.46","6,034,817,316",0.232028448,0.231710901,0.236564272,2.91E-08,0.040442701
27/08/2023,"26,008.24","26,165.37","25,965.10","26,089.69","6,913,768,611",0.231678751,0.232229788,0.236392158,2.94E-08,0.046333047
28/08/2023,"26,089.62","26,198.58","25,880.60","26,106.15","11,002,805,166",0.23240864,0.232526946,0.235617736,2.94E-08,0.073735979
29/08/2023,"26,102.49","28,089.34","25,912.63","27,727.39","29,368,391,712",0.232524069,0.249445221,0.235911283,3.40E-08,0.196814094
30/08/2023,"27,726.08","27,760.16","27,069.21","27,297.27","16,343,655,235",0.247085887,0.246499761,0.246511065,3.28E-08,0.109528016
31/08/2023,"27,301.93","27,456.08","25,752.93","25,931.47","20,181,001,451",0.243281728,0.243778893,0.23444767,2.89E-08,0.135244229
01/09/2023,"25,934.02","26,125.87","25,362.61","25,800.72","17,202,862,221",0.231013079,0.231876347,0.23087048,2.85E-08,0.115286045
